"Nombre del conjunto de anuncios","Nombre del anuncio","Nombre de la campaña",Día,Región,Alcance,Impresiones,Frecuencia,Divisa,"Importe gastado (CLP)","Configuración de atribución","Clics en el enlace","CTR (todos)","CPC (todos)","CPM (costo por mil impresiones)","Artículos agregados al carrito","Costo por artículo agregado al carrito","Reproducciones de video de 3 segundos","Reproducciones de video hasta el 25%","Reproducciones de video hasta el 50%","Reproducciones de video hasta el 75%","Reproducciones de video hasta el 95%","Reproducciones de video hasta el 100%","Inicio del informe","Fin del informe"
"Test Publicos : Temuco","Video explicando servicio corto","campaña ventas HotBoat",2025-06-19,"Araucanía Region",872,971,1.11353211,CLP,1373,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",12,3.81050463,37.10810811,1414.0061792,,,290,,,,,,2025-06-12,2025-06-19
"Test Publicos : Temuco","Video explicando servicio corto","campaña ventas HotBoat",2025-06-19,"Los Ríos Region",29,29,1,CLP,21,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,3.44827586,21,724.13793103,,,11,,,,,,2025-06-12,2025-06-19
"Test Publicos : Temuco","Video pareja dcto","campaña ventas HotBoat",2025-06-19,"Araucanía Region",2,2,1,CLP,2,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,,1000,,,1,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-19,"Antofagasta Region",19,19,1,CLP,22,"7 días tras clic o 1 día tras visualización",,,,1157.89473684,,,10,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-19,"Araucanía Region",40,46,1.15,CLP,95,"7 días tras clic o 1 día tras visualización",1,10.86956522,19,2065.2173913,,,13,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-19,"Arica y Parinacota Region",4,4,1,CLP,7,"7 días tras clic o 1 día tras visualización",,,,1750,,,2,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-19,"Atacama Region",4,4,1,CLP,38,"7 días tras clic o 1 día tras visualización",,25,38,9500,,,2,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-19,"Aysén Region",2,2,1,CLP,1,"7 días tras clic o 1 día tras visualización",,,,500,,,,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-19,"Bío Bío Region",34,35,1.02941176,CLP,74,"7 días tras clic o 1 día tras visualización",1,8.57142857,24.66666667,2114.28571429,,,14,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-19,"Coquimbo Region",11,13,1.18181818,CLP,12,"7 días tras clic o 1 día tras visualización",,7.69230769,12,923.07692308,,,7,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-19,"Los Lagos Region",65,67,1.03076923,CLP,130,"7 días tras clic o 1 día tras visualización",2,7.46268657,26,1940.29850746,,,28,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-19,"Los Ríos Region",11,12,1.09090909,CLP,15,"7 días tras clic o 1 día tras visualización",,8.33333333,15,1250,,,3,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-19,"Magallanes y la Antártica Chilena Region",12,13,1.08333333,CLP,11,"7 días tras clic o 1 día tras visualización",,7.69230769,11,846.15384615,,,5,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-19,"Maule Region",29,30,1.03448276,CLP,31,"7 días tras clic o 1 día tras visualización",,,,1033.33333333,,,10,,,,,,2025-06-12,2025-06-19
