"Nombre del conjunto de anuncios","Nombre del anuncio","Nombre de la campaña",Día,Región,Alcance,Impresiones,Frecuencia,Divisa,"Importe gastado (CLP)","Configuración de atribución","Clics en el enlace","CTR (todos)","CPC (todos)","CPM (costo por mil impresiones)","Artículos agregados al carrito","Costo por artículo agregado al carrito","Reproducciones de video de 3 segundos","Reproducciones de video hasta el 25%","Reproducciones de video hasta el 50%","Reproducciones de video hasta el 75%","Reproducciones de video hasta el 95%","Reproducciones de video hasta el 100%","Inicio del informe","Fin del informe"
"publico advantage","Video explicando servicio corto","primera campaña clientes potenciales",2025-06-03,"Antofagasta Region",79,83,1.05063291,CLP,175,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",3,8.43373494,25,2108.43373494,,,33,,,,,,2025-01-01,2025-06-03
"publico advantage","Video explicando servicio corto","primera campaña clientes potenciales",2025-06-03,"Araucanía Region",141,149,1.05673759,CLP,269,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",3,3.3557047,53.8,1805.36912752,,,50,,,,,,2025-01-01,2025-06-03
"publico advantage","Video explicando servicio corto","primera campaña clientes potenciales",2025-06-03,"Arica y Parinacota Region",19,20,1.05263158,CLP,32,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",1,10,16,1600,,,9,,,,,,2025-01-01,2025-06-03
"publico advantage","Video explicando servicio corto","primera campaña clientes potenciales",2025-06-03,"Atacama Region",14,14,1,CLP,29,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,,2071.42857143,,,7,,,,,,2025-01-01,2025-06-03
"publico advantage","Video explicando servicio corto","primera campaña clientes potenciales",2025-06-03,"Aysén Region",13,13,1,CLP,10,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,,769.23076923,,,6,,,,,,2025-01-01,2025-06-03
"publico advantage","Video explicando servicio corto","primera campaña clientes potenciales",2025-06-03,"Bío Bío Region",164,173,1.05487805,CLP,348,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",3,6.93641618,29,2011.56069364,,,68,,,,,,2025-01-01,2025-06-03
"publico advantage","Video explicando servicio corto","primera campaña clientes potenciales",2025-06-03,"Coquimbo Region",49,51,1.04081633,CLP,84,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",3,9.80392157,16.8,1647.05882353,,,17,,,,,,2025-01-01,2025-06-03
"publico advantage","Video explicando servicio corto","primera campaña clientes potenciales",2025-06-03,"Los Lagos Region",159,169,1.06289308,CLP,210,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",3,5.91715976,21,1242.6035503,,,63,,,,,,2025-01-01,2025-06-03
"publico advantage","Video explicando servicio corto","primera campaña clientes potenciales",2025-06-03,"Los Ríos Region",97,99,1.02061856,CLP,154,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",3,7.07070707,22,1555.55555556,,,38,,,,,,2025-01-01,2025-06-03
"publico advantage","Video explicando servicio corto","primera campaña clientes potenciales",2025-06-03,"Magallanes y la Antártica Chilena Region",19,22,1.15789474,CLP,37,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,,1681.81818182,,,5,,,,,,2025-01-01,2025-06-03
"publico advantage","Video explicando servicio corto","primera campaña clientes potenciales",2025-06-03,"Maule Region",51,55,1.07843137,CLP,90,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",1,5.45454545,30,1636.36363636,,,20,,,,,,2025-01-01,2025-06-03
"publico advantage","Video explicando servicio corto","primera campaña clientes potenciales",2025-06-03,"O'Higgins Region",52,55,1.05769231,CLP,129,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",1,5.45454545,43,2345.45454545,,,20,,,,,,2025-01-01,2025-06-03
