"Nombre del conjunto de anuncios","Nombre del anuncio","Nombre de la campaña",Día,Alcance,Impresiones,Frecuencia,Divisa,"Importe gastado (CLP)","Configuración de atribución","Clics en el enlace","CTR (todos)","CPC (todos)","CPM (costo por mil impresiones)","Artículos agregados al carrito","Costo por artículo agregado al carrito","Reproducciones de video de 3 segundos","Reproducciones de video hasta el 25%","Reproducciones de video hasta el 50%","Reproducciones de video hasta el 75%","Reproducciones de video hasta el 95%","Reproducciones de video hasta el 100%","Inicio del informe","Fin del informe"
"Test Publicos : Temuco","Video explicando servicio corto","campaña ventas HotBoat",2025-06-19,921,1000,1.08577633,CLP,1394,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",12,3.8,36.68421053,1394,,,301,244,183,120,63,57,2025-06-12,2025-06-19
"Test Publicos : Temuco","Video pareja dcto","campaña ventas HotBoat",2025-06-19,2,2,1,CLP,2,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,,1000,,,1,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-19,494,521,1.05465587,CLP,1044,"7 días tras clic o 1 día tras visualización",10,6.52591171,30.70588235,2003.83877159,,,195,134,94,57,24,22,2025-06-12,2025-06-19
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-06-19,3,4,1.33333333,CLP,15,"7 días tras clic o 1 día tras visualización",,,,3750,,,1,,,,,,2025-06-12,2025-06-19
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-19,8,8,1,CLP,11,"7 días tras clic o 1 día tras visualización",,,,1375,,,3,,,,,,2025-06-12,2025-06-19
"publico concepcion","Video explicando servicio corto","campaña ventas HotBoat",2025-06-19,830,905,1.09036145,CLP,1224,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",9,3.20441989,42.20689655,1352.48618785,,,316,235,181,107,45,43,2025-06-12,2025-06-19
"publico pucon 1","Video explicando servicio corto","campaña ventas HotBoat",2025-06-19,88,94,1.06818182,CLP,141,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,2.12765957,70.5,1500,,,25,17,13,10,8,7,2025-06-12,2025-06-19
"publico pucon 1","Video pareja dcto","campaña ventas HotBoat",2025-06-19,439,487,1.10933941,CLP,970,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",8,3.28542094,60.625,1991.78644764,,,138,17,8,3,3,3,2025-06-12,2025-06-19
"publico pucon 1","Video parejas amor","campaña ventas HotBoat",2025-06-19,9,16,1.77777778,CLP,19,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,,1187.5,,,1,,,,,,2025-06-12,2025-06-19
"publico valdivia","Video explicando servicio corto","campaña ventas HotBoat",2025-06-19,1029,1130,1.09815355,CLP,1084,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",19,3.62831858,26.43902439,959.2920354,,,359,262,186,120,55,49,2025-06-12,2025-06-19
"Test Publicos : Temuco","Video explicando servicio corto","campaña ventas HotBoat",2025-06-18,1434,1682,1.17294282,CLP,1971,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",34,4.8156956,24.33333333,1171.81926278,,,499,441,314,193,109,100,2025-06-12,2025-06-19
"Test Publicos : Temuco","Video pareja dcto","campaña ventas HotBoat",2025-06-18,1,1,1,CLP,1,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,,1000,,,,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-18,1071,1188,1.1092437,CLP,1759,"7 días tras clic o 1 día tras visualización",20,4.54545455,32.57407407,1480.63973064,,,372,266,187,117,61,56,2025-06-12,2025-06-19
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-06-18,1,1,1,CLP,2,"7 días tras clic o 1 día tras visualización",,,,2000,,,,,,,,,2025-06-12,2025-06-19
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-18,11,11,1,CLP,61,"7 días tras clic o 1 día tras visualización",,9.09090909,61,5545.45454545,,,6,1,1,1,,,2025-06-12,2025-06-19
"publico concepcion","Video explicando servicio corto","campaña ventas HotBoat",2025-06-18,1485,1671,1.12525253,CLP,1978,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",27,4.36864153,27.09589041,1183.72232196,,,577,468,344,190,87,80,2025-06-12,2025-06-19
"publico pucon 1","Video explicando servicio corto","campaña ventas HotBoat",2025-06-18,49,54,1.10204082,CLP,44,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,1.85185185,44,814.81481481,,,9,8,6,3,2,2,2025-06-12,2025-06-19
"publico pucon 1","Video pareja dcto","campaña ventas HotBoat",2025-06-18,921,1152,1.25081433,CLP,1881,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",16,2.69097222,60.67741935,1632.8125,,,323,44,18,14,12,9,2025-06-12,2025-06-19
"publico valdivia","Video explicando servicio corto","campaña ventas HotBoat",2025-06-18,1659,1835,1.106088,CLP,1942,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",35,4.19618529,25.22077922,1058.3106267,,,565,453,353,204,95,86,2025-06-12,2025-06-19
"Test Publicos : Temuco","Video explicando servicio corto","campaña ventas HotBoat",2025-06-17,1661,1985,1.19506321,CLP,2151,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",30,3.8790932,27.93506494,1083.62720403,2,1075.5,600,479,362,232,124,113,2025-06-12,2025-06-19
"Test Publicos : Temuco","Video pareja dcto","campaña ventas HotBoat",2025-06-17,2,3,1.5,CLP,5,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,,1666.66666667,,,1,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-17,1446,1619,1.11964039,CLP,2063,"7 días tras clic o 1 día tras visualización",36,6.42371834,19.83653846,1274.2433601,,,574,432,319,209,111,102,2025-06-12,2025-06-19
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-06-17,1,2,2,CLP,4,"7 días tras clic o 1 día tras visualización",,,,2000,,,,,,,,,2025-06-12,2025-06-19
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-17,15,19,1.26666667,CLP,23,"7 días tras clic o 1 día tras visualización",,,,1210.52631579,,,6,,,,,,2025-06-12,2025-06-19
"publico concepcion","Video explicando servicio corto","campaña ventas HotBoat",2025-06-17,2110,2200,1.04265403,CLP,2006,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",39,4.09090909,22.28888889,911.81818182,,,764,596,454,296,137,117,2025-06-12,2025-06-19
"publico pucon 1","Video explicando servicio corto","campaña ventas HotBoat",2025-06-17,42,50,1.19047619,CLP,54,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,,1080,,,16,14,9,7,4,4,2025-06-12,2025-06-19
"publico pucon 1","Video pareja dcto","campaña ventas HotBoat",2025-06-17,1031,1283,1.24442289,CLP,2078,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",13,1.55884645,103.9,1619.64146532,,,366,43,14,8,4,3,2025-06-12,2025-06-19
"publico valdivia","Video explicando servicio corto","campaña ventas HotBoat",2025-06-17,2074,2305,1.11137898,CLP,2079,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",33,4.38177874,20.58415842,901.95227766,,,791,631,480,284,133,117,2025-06-12,2025-06-19
"Test Publicos : Temuco","Video explicando servicio corto","campaña ventas HotBoat",2025-06-16,2118,2325,1.09773371,CLP,2160,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",35,4.51612903,20.57142857,929.03225806,,,676,565,416,288,160,145,2025-06-12,2025-06-19
"Test Publicos : Temuco","Video pareja dcto","campaña ventas HotBoat",2025-06-16,3,4,1.33333333,CLP,11,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,,2750,,,1,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-16,1711,1870,1.09292811,CLP,2112,"7 días tras clic o 1 día tras visualización",31,6.36363636,17.74789916,1129.41176471,,,637,455,333,215,114,102,2025-06-12,2025-06-19
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-06-16,3,6,2,CLP,2,"7 días tras clic o 1 día tras visualización",,,,333.33333333,,,4,1,,,,,2025-06-12,2025-06-19
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-16,7,8,1.14285714,CLP,24,"7 días tras clic o 1 día tras visualización",,,,3000,,,3,1,,,,,2025-06-12,2025-06-19
"publico concepcion","Video explicando servicio corto","campaña ventas HotBoat",2025-06-16,2074,2216,1.06846673,CLP,2174,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",37,4.73826715,20.7047619,981.04693141,,,762,570,438,285,135,118,2025-06-12,2025-06-19
"publico pucon 1","Video explicando servicio corto","campaña ventas HotBoat",2025-06-16,51,55,1.07843137,CLP,60,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",1,1.81818182,60,1090.90909091,,,13,9,8,7,3,3,2025-06-12,2025-06-19
"publico pucon 1","Video pareja dcto","campaña ventas HotBoat",2025-06-16,1403,1665,1.18674269,CLP,2121,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",15,2.16216216,58.91666667,1273.87387387,,,524,72,28,17,17,15,2025-06-12,2025-06-19
"publico valdivia","Video explicando servicio corto","campaña ventas HotBoat",2025-06-16,2207,2426,1.09922972,CLP,2053,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",53,5.23495466,16.16535433,846.2489695,,,826,646,480,319,152,134,2025-06-12,2025-06-19
"Test Publicos : Temuco","Video explicando servicio corto","campaña ventas HotBoat",2025-06-15,1875,2132,1.13706667,CLP,2168,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",40,4.36210131,23.31182796,1016.88555347,,,600,493,369,241,135,119,2025-06-12,2025-06-19
"Test Publicos : Temuco","Video pareja dcto","campaña ventas HotBoat",2025-06-15,1,1,1,CLP,,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,,,,,,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-15,1675,1829,1.0919403,CLP,2215,"7 días tras clic o 1 día tras visualización",60,7.87315473,15.38194444,1211.0442865,,,622,465,340,247,138,123,2025-06-12,2025-06-19
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-06-15,1,1,1,CLP,2,"7 días tras clic o 1 día tras visualización",,,,2000,,,,,,,,,2025-06-12,2025-06-19
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-15,8,8,1,CLP,9,"7 días tras clic o 1 día tras visualización",,,,1125,,,4,1,,,,,2025-06-12,2025-06-19
"publico concepcion","Video explicando servicio corto","campaña ventas HotBoat",2025-06-15,2273,2439,1.07303124,CLP,2280,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",74,6.31406314,14.80519481,934.80934809,,,908,703,546,361,193,167,2025-06-12,2025-06-19
"publico pucon 1","Video explicando servicio corto","campaña ventas HotBoat",2025-06-15,61,62,1.01639344,CLP,54,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",1,3.22580645,27,870.96774194,,,17,11,8,4,2,2,2025-06-12,2025-06-19
"publico pucon 1","Video pareja dcto","campaña ventas HotBoat",2025-06-15,1282,1527,1.19110764,CLP,2221,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",18,2.5540275,56.94871795,1454.4859201,,,452,46,11,8,6,5,2025-06-12,2025-06-19
"publico valdivia","Video explicando servicio corto","campaña ventas HotBoat",2025-06-15,2178,2326,1.06795225,CLP,2251,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",38,4.98710232,19.40517241,967.75580396,,,806,614,464,302,162,145,2025-06-12,2025-06-19
